transcript,gene_id,gene_symbol,status,max,model,cpgs,csv
ENST00000481848.6,ENSG00000255330,,ok,0.75,brnn,33,written
ENST00000444045.1,ENSG00000117748,RPA2,ok,0.76,brnn,16,written
ENST00000408995.5,ENSG00000115641,FHL2,ok,0.90,brnn,18,written
ENST00000352632.7,ENSG00000160460,SPTBN4,ok,0.76,brnn,50,written
ENST00000668740.1,ENSG00000287243,THCAT155,ok,0.76,brnn,10,written
ENST00000393353.7,ENSG00000115641,FHL2,ok,0.90,brnn,18,written
ENST00000366704.2,ENSG00000154358,OBSCN,ok,0.77,brnn,35,written
ENST00000296615.10,ENSG00000164197,RNF180,ok,0.75,brnn,8,written
ENST00000465909.2,ENSG00000214338,MTCL3,ok,0.75,brnn,33,written
ENST00000360761.8,ENSG00000006283,CACNA1G,ok,0.78,brnn,47,written
ENST00000636476.2,ENSG00000154358,OBSCN,ok,0.86,glmnet,74,written
ENST00000446477.6,ENSG00000224940,PRRT4,ok,0.75,brnn,11,written
ENST00000430939.6,ENSG00000105143,SLC1A6,ok,0.78,glmnet,15,written
ENST00000344213.9,ENSG00000115641,FHL2,ok,0.90,brnn,18,written
ENST00000483754.1,ENSG00000248710,TRIM59-IFT80,ok,0.83,brnn,19,written
ENST00000570156.7,ENSG00000154358,OBSCN,ok,0.86,glmnet,87,written
ENST00000449549.4,ENSG00000237172,B3GNT9,ok,0.77,brnn,13,written
ENST00000597850.2,ENSG00000171649,ZIK1,ok,0.76,brnn,11,written
ENST00000369295.4,ENSG00000043591,ADRB1,ok,0.78,brnn,15,written
ENST00000521540.1,ENSG00000104722,NEFM,ok,0.75,brnn,24,written
ENST00000284548.16,ENSG00000154358,OBSCN,ok,0.81,glmnet,79,written
ENST00000282928.5,ENSG00000152977,ZIC1,ok,0.78,brnn,42,written
ENST00000525778.5,ENSG00000214338,MTCL3,ok,0.75,brnn,33,written
ENST00000583337.4,ENSG00000266265,KLF14,ok,0.85,brnn,22,written
ENST00000702741.1,ENSG00000203709,MIR29B2CHG,ok,0.81,brnn,8,written
ENST00000659952.1,ENSG00000203809,LIN28B-AS1,ok,0.75,krls,8,written
ENST00000313071.7,ENSG00000176165,FOXG1,ok,0.75,brnn,27,written
ENST00000551395.5,ENSG00000257126,FOXG1-AS1,ok,0.76,brnn,17,written
ENST00000306117.5,ENSG00000124134,KCNS1,ok,0.79,brnn,14,written
ENST00000675861.1,ENSG00000186960,LINC01551,ok,0.77,brnn,11,written
ENST00000346387.8,,,http_400,0.77,brnn,31,written
ENST00000313433.11,ENSG00000117748,RPA2,ok,0.75,brnn,17,written
ENST00000358129.8,ENSG00000115641,FHL2,ok,0.90,brnn,18,written
ENST00000598689.1,ENSG00000171649,ZIK1,ok,0.76,brnn,11,written
ENST00000457777.6,ENSG00000132692,BCAN,ok,0.75,krls,12,written
ENST00000476853.1,ENSG00000104327,CALB1,ok,0.81,krls,12,written
ENST00000265431.7,ENSG00000104327,CALB1,ok,0.81,krls,10,written
ENST00000518457.5,ENSG00000104327,CALB1,ok,0.81,krls,8,written
ENST00000354437.8,ENSG00000078900,TP73,ok,0.78,krls,29,written
ENST00000657744.1,ENSG00000230314,ELOVL2-AS1,ok,0.92,brnn,11,written
ENST00000523467.1,ENSG00000104722,NEFM,ok,0.75,krls,19,written
ENST00000309784.9,ENSG00000213186,TRIM59,ok,0.83,brnn,17,written
ENST00000560598.2,ENSG00000169918,OTUD7A,ok,0.78,brnn,11,written
ENST00000701512.1,ENSG00000289513,,ok,0.75,brnn,18,written
ENST00000609583.1,ENSG00000237976,RFX5-AS1,ok,0.76,brnn,17,written
ENST00000678495.1,ENSG00000169918,OTUD7A,ok,0.78,brnn,4,written
ENST00000607058.2,ENSG00000272163,,ok,0.75,krls,27,written
ENST00000307050.6,ENSG00000169918,OTUD7A,ok,0.77,glmnet,15,written
ENST00000456616.2,ENSG00000230314,ELOVL2-AS1,ok,0.92,brnn,11,written
ENST00000409177.6,ENSG00000115641,FHL2,ok,0.91,brnn,15,written
ENST00000471396.1,ENSG00000213186,TRIM59,ok,0.83,krls,16,written
ENST00000543469.1,ENSG00000213186,TRIM59,ok,0.84,brnn,17,written
ENST00000248121.7,ENSG00000127561,SYNGR3,ok,0.79,brnn,17,written
ENST00000367796.3,ENSG00000198734,F5,ok,0.77,brnn,11,written
ENST00000437366.2,ENSG00000104722,NEFM,ok,0.75,brnn,24,written
ENST00000546560.5,ENSG00000257126,FOXG1-AS1,ok,0.78,krls,16,written
ENST00000689319.1,ENSG00000288892,PEARL1,ok,0.75,brnn,10,written
ENST00000652846.1,ENSG00000203709,MIR29B2CHG,ok,0.81,brnn,7,written
ENST00000658593.1,ENSG00000257126,FOXG1-AS1,ok,0.76,brnn,18,written
ENST00000357733.7,,,http_400,0.77,glmnet,31,written
ENST00000389554.8,ENSG00000136535,TBR1,ok,0.76,krls,34,written
ENST00000604074.5,ENSG00000078900,TP73,ok,0.78,krls,31,written
ENST00000442258.6,ENSG00000006283,CACNA1G,ok,0.77,brnn,45,written
ENST00000673969.1,ENSG00000196990,FAM163B,ok,0.76,brnn,9,written
ENST00000599456.1,ENSG00000171649,ZIK1,ok,0.76,brnn,11,written
ENST00000549487.1,ENSG00000257126,FOXG1-AS1,ok,0.78,krls,17,written
ENST00000507111.1,ENSG00000183654,MARCHF11,ok,0.75,brnn,6,written
ENST00000359106.10,ENSG00000006283,CACNA1G,ok,0.79,brnn,52,written
ENST00000537075.3,ENSG00000124134,KCNS1,ok,0.79,brnn,14,written
ENST00000375150.6,ENSG00000204314,PRRT1,ok,0.82,brnn,80,written
ENST00000422127.5,ENSG00000154358,OBSCN,ok,0.86,glmnet,86,written
ENST00000354983.8,ENSG00000006283,CACNA1G,ok,0.78,brnn,46,written
ENST00000211413.10,ENSG00000204314,PRRT1,ok,0.85,brnn,66,written
ENST00000479949.5,ENSG00000132692,BCAN,ok,0.75,krls,13,written
ENST00000496222.1,ENSG00000213186,TRIM59,ok,0.83,krls,16,written
ENST00000655169.1,ENSG00000203709,MIR29B2CHG,ok,0.81,brnn,10,written
ENST00000299194.6,ENSG00000166159,LRTM2,ok,0.77,brnn,20,written
ENST00000482702.5,ENSG00000104327,CALB1,ok,0.81,brnn,12,written
ENST00000607275.6,ENSG00000230314,ELOVL2-AS1,ok,0.92,brnn,12,written
ENST00000378295.9,ENSG00000078900,TP73,ok,0.77,glmnet,31,written
ENST00000373912.8,ENSG00000117748,RPA2,ok,0.76,glmnet,17,written
ENST00000467780.5,ENSG00000204314,PRRT1,ok,0.80,krls,41,written
ENST00000464585.1,ENSG00000164082,GRM2,ok,0.75,brnn,30,written
ENST00000569547.1,ENSG00000273025,,ok,0.75,brnn,22,written
ENST00000599636.1,ENSG00000105143,SLC1A6,ok,0.78,glmnet,14,written
ENST00000680850.1,ENSG00000154358,OBSCN,ok,0.86,glmnet,87,written
ENST00000536878.6,ENSG00000171649,ZIK1,ok,0.76,brnn,11,written
ENST00000494486.1,ENSG00000213186,TRIM59,ok,0.84,brnn,16,written
ENST00000667435.1,ENSG00000230314,ELOVL2-AS1,ok,0.92,brnn,12,written
ENST00000567083.2,ENSG00000140488,CELF6,ok,0.75,brnn,22,written
