Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
2782,3,cubist,0.9080365462,4.891378572,,,,,,,,,,
2043,3,cubist,0.9080815081,4.758403792,,,,,,,,,,
1059,3,cubist,0.9080936704,4.736780167,,,,,,,,,,
401,3,cubist,0.9081004143,4.808013659,,,,,,,,,,
3012,3,cubist,0.9081551741,4.726751449,,,,,,,,,,
1021,3,cubist,0.9081687847,4.714412446,,,,,,,,,,
2055,3,cubist,0.9081715346,4.779839867,,,,,,,,,,
1642,3,cubist,0.9081950154,5.02044067,,,,,,,,,,
1877,3,cubist,0.9082056737,4.932734104,,,,,,,,,,
2195,3,cubist,0.9082091749,4.739397949,,,,,,,,,,
3265,3,cubist,0.9082156718,4.714814626,,,,,,,,,,
2540,3,cubist,0.9082875289,5.010753036,,,,,,,,,,
2053,3,cubist,0.9083015419,5.141472911,,,,,,,,,,
3445,3,cubist,0.9083098049,4.75870242,,,,,,,,,,
53,3,cubist,0.9083186703,5.005797122,,,,,,,,,,
2723,3,cubist,0.908325269,4.747348055,,,,,,,,,,
793,3,cubist,0.9083477682,4.865264825,,,,,,,,,,
1307,3,cubist,0.9084320862,4.587004892,,,,,,,,,,
2860,3,cubist,0.9084370584,4.738714996,,,,,,,,,,
3371,3,cubist,0.9084530654,4.716415784,,,,,,,,,,
2283,3,cubist,0.9084657502,4.5709318,,,,,,,,,,
2364,3,cubist,0.9085072288,4.85168248,,,,,,,,,,
2367,3,cubist,0.9085329405,5.070014406,,,,,,,,,,
849,3,cubist,0.9085719235,4.748725634,,,,,,,,,,
332,3,cubist,0.9086605422,4.828960473,,,,,,,,,,
241,3,cubist,0.908706667,4.946804709,,,,,,,,,,
3087,3,cubist,0.9087114516,5.021727555,,,,,,,,,,
3840,3,cubist,0.9087725014,4.776908475,,,,,,,,,,
3353,3,cubist,0.9087831825,4.832395932,,,,,,,,,,
1658,3,cubist,0.9087969669,4.800530907,,,,,,,,,,
3223,3,cubist,0.9088111883,4.7974376,,,,,,,,,,
302,3,cubist,0.9088121546,4.791796508,,,,,,,,,,
384,3,cubist,0.9088251814,4.991766706,,,,,,,,,,
693,3,cubist,0.9088362884,4.764760356,,,,,,,,,,
3886,3,cubist,0.908843191,4.824847986,,,,,,,,,,
1968,3,cubist,0.9089070402,4.80059341,,,,,,,,,,
2116,3,cubist,0.9089920713,4.74566789,,,,,,,,,,
2002,3,cubist,0.9090259682,4.952770612,,,,,,,,,,
845,3,cubist,0.9090849966,4.910705749,,,,,,,,,,
7,3,cubist,0.9090945479,4.634398115,,,,,,,,,,
14,3,cubist,0.9090969467,4.836139192,,,,,,,,,,
3410,3,cubist,0.9091040304,4.862260967,,,,,,,,,,
909,3,cubist,0.9091177011,4.756534401,,,,,,,,,,
3050,3,cubist,0.9091334575,4.72449231,,,,,,,,,,
1669,3,cubist,0.9091385695,4.49764247,,,,,,,,,,
3789,3,cubist,0.9091392782,4.894146534,,,,,,,,,,
3763,3,cubist,0.9091704596,4.808732182,,,,,,,,,,
1747,3,cubist,0.9091760504,4.672534422,,,,,,,,,,
3507,3,cubist,0.9091769878,4.578274301,,,,,,,,,,
2138,3,cubist,0.9091857254,4.681731894,,,,,,,,,,
1750,3,cubist,0.9091869388,4.84664012,,,,,,,,,,
3485,3,cubist,0.9091922923,5.167505237,,,,,,,,,,
3961,3,cubist,0.909192434,4.900048182,,,,,,,,,,
1358,3,cubist,0.9092003165,4.809866831,,,,,,,,,,
1528,3,cubist,0.9092018985,4.569599226,,,,,,,,,,
866,3,cubist,0.909203916,4.791068206,,,,,,,,,,
776,3,cubist,0.9092173746,4.749175931,,,,,,,,,,
3847,3,cubist,0.9092671493,4.76604668,,,,,,,,,,
1446,3,cubist,0.909304188,4.880044558,,,,,,,,,,
44,3,cubist,0.9093130712,4.707533376,,,,,,,,,,
977,3,cubist,0.9093610223,4.890187372,,,,,,,,,,
2170,3,cubist,0.9093755137,5.106680282,,,,,,,,,,
3325,3,cubist,0.9094366593,4.52393753,,,,,,,,,,
3510,3,cubist,0.9094460559,4.726718977,,,,,,,,,,
347,3,cubist,0.9094930576,4.784352073,,,,,,,,,,
3443,3,cubist,0.9094987901,4.948232948,,,,,,,,,,
1103,3,cubist,0.9095087779,4.692000788,,,,,,,,,,
1510,3,cubist,0.9095182873,4.852824806,,,,,,,,,,
838,3,cubist,0.9095264134,4.79166041,,,,,,,,,,
2584,3,cubist,0.9095727188,4.922728241,,,,,,,,,,
837,3,cubist,0.9095980705,4.681057808,,,,,,,,,,
1519,3,cubist,0.9096221706,4.603324667,,,,,,,,,,
2126,3,cubist,0.9096438285,4.741778766,,,,,,,,,,
2988,3,cubist,0.9096634978,4.86324219,,,,,,,,,,
3113,3,cubist,0.9096718831,4.873737565,,,,,,,,,,
1062,3,cubist,0.9096885295,4.829571284,,,,,,,,,,
310,3,cubist,0.9097304882,4.890088616,,,,,,,,,,
2638,3,cubist,0.9097353524,4.960045483,,,,,,,,,,
402,3,cubist,0.9097424606,5.090916688,,,,,,,,,,
342,3,cubist,0.9097478122,4.823614905,,,,,,,,,,
3044,3,cubist,0.9097702276,4.997500913,,,,,,,,,,
1606,3,cubist,0.9097781789,4.697264178,,,,,,,,,,
2580,3,cubist,0.9097815642,4.831959366,,,,,,,,,,
2577,3,cubist,0.9097969944,4.674975794,,,,,,,,,,
586,3,cubist,0.9098105065,4.911450968,,,,,,,,,,
459,3,cubist,0.9098139023,4.62625421,,,,,,,,,,
3008,3,cubist,0.909822044,4.923611905,,,,,,,,,,
1967,3,cubist,0.9098358269,4.976488397,,,,,,,,,,
954,3,cubist,0.9098413089,4.893419536,,,,,,,,,,
1994,3,cubist,0.9098520479,4.911237074,,,,,,,,,,
2809,3,cubist,0.9098753674,4.737408611,,,,,,,,,,
1166,3,cubist,0.9099142361,4.870612178,,,,,,,,,,
3455,3,cubist,0.9099387585,4.925884051,,,,,,,,,,
2057,3,cubist,0.909940594,4.780133849,,,,,,,,,,
3381,3,cubist,0.9100030689,4.676926511,,,,,,,,,,
2614,3,cubist,0.9100442648,4.899133121,,,,,,,,,,
2447,3,cubist,0.9100927597,4.791235444,,,,,,,,,,
301,3,cubist,0.9101160427,4.899139573,,,,,,,,,,
1508,3,cubist,0.9101368742,4.874897166,,,,,,,,,,
2760,3,cubist,0.910169036,4.783778475,,,,,,,,,,
153,3,cubist,0.9102093287,4.71557584,,,,,,,,,,
2048,3,cubist,0.9102416783,4.924086226,,,,,,,,,,
2035,3,cubist,0.9102452974,4.772203283,,,,,,,,,,
3194,3,cubist,0.910257045,4.8291116,,,,,,,,,,
1628,3,cubist,0.9102640796,4.431360576,,,,,,,,,,
2509,3,cubist,0.910267523,4.819620761,,,,,,,,,,
1675,3,cubist,0.9103318457,4.928564525,,,,,,,,,,
1593,3,cubist,0.9103841944,4.706424409,,,,,,,,,,
1228,3,cubist,0.9103871308,4.589358445,,,,,,,,,,
2227,3,cubist,0.9103872407,4.792969278,,,,,,,,,,
641,3,cubist,0.9104257323,4.814412137,,,,,,,,,,
1399,3,cubist,0.9104404333,4.757798966,,,,,,,,,,
3379,3,cubist,0.9104418818,4.754010782,,,,,,,,,,
2324,3,cubist,0.9104888729,4.788357856,,,,,,,,,,
3268,3,cubist,0.9105001124,4.920271961,,,,,,,,,,
2486,3,cubist,0.9105078939,4.743256224,,,,,,,,,,
1363,3,cubist,0.9105168386,4.855198285,,,,,,,,,,
2892,3,cubist,0.9105321919,4.724679703,,,,,,,,,,
3922,3,cubist,0.9105430636,4.994324671,,,,,,,,,,
3906,3,cubist,0.9105493046,4.600176493,,,,,,,,,,
3555,3,cubist,0.9105693171,4.646838215,,,,,,,,,,
3147,3,cubist,0.9105733142,4.730001436,,,,,,,,,,
2748,3,cubist,0.9105740931,4.869504989,,,,,,,,,,
3544,3,cubist,0.9106822479,4.832816009,,,,,,,,,,
3089,3,cubist,0.9107347348,4.757612425,,,,,,,,,,
3968,3,cubist,0.9107366977,4.837479348,,,,,,,,,,
2599,3,cubist,0.9107418495,4.929191691,,,,,,,,,,
1608,3,cubist,0.9107565142,4.897238116,,,,,,,,,,
923,3,cubist,0.910775284,5.100062377,,,,,,,,,,
2526,3,cubist,0.9107995143,4.726642176,,,,,,,,,,
3567,3,cubist,0.9108048658,5.084210139,,,,,,,,,,
3846,3,cubist,0.9108274797,4.756948911,,,,,,,,,,
3083,3,cubist,0.9108278105,4.584505643,,,,,,,,,,
1063,3,cubist,0.9108385067,4.828872748,,,,,,,,,,
3547,3,cubist,0.9108529111,5.060548444,,,,,,,,,,
3252,3,cubist,0.9108593159,4.937142419,,,,,,,,,,
2076,3,cubist,0.9108626773,4.635258445,,,,,,,,,,
3932,3,cubist,0.9108657975,4.732676127,,,,,,,,,,
823,3,cubist,0.9108730836,4.839177957,,,,,,,,,,
3298,3,cubist,0.910893019,4.676430763,,,,,,,,,,
3380,3,cubist,0.9109058148,4.987043692,,,,,,,,,,
2758,3,cubist,0.9109135523,4.679898959,,,,,,,,,,
2081,3,cubist,0.910934256,4.582156689,,,,,,,,,,
1120,3,cubist,0.9109434024,4.937968416,,,,,,,,,,
2290,3,cubist,0.9109467152,4.736102449,,,,,,,,,,
1689,3,cubist,0.9109920308,4.832135261,,,,,,,,,,
3839,3,cubist,0.9110011147,4.998125935,,,,,,,,,,
104,3,cubist,0.9110144415,4.859915016,,,,,,,,,,
3882,3,cubist,0.9110200665,4.679285131,,,,,,,,,,
3682,3,cubist,0.9110481594,4.421807059,,,,,,,,,,
380,3,cubist,0.9110528384,4.720727718,,,,,,,,,,
2815,3,cubist,0.911055594,4.999944863,,,,,,,,,,
484,3,cubist,0.911065842,4.859188878,,,,,,,,,,
1881,3,cubist,0.9110667581,4.913828823,,,,,,,,,,
1803,3,cubist,0.9110823334,4.818031636,,,,,,,,,,
3424,3,cubist,0.9110952306,4.712760871,,,,,,,,,,
2303,3,cubist,0.9111014223,5.150481298,,,,,,,,,,
562,3,cubist,0.9111186083,4.800308498,,,,,,,,,,
2544,3,cubist,0.9111196532,4.533736642,,,,,,,,,,
733,3,cubist,0.9111270784,4.658363369,,,,,,,,,,
490,3,cubist,0.9111295344,4.981887899,,,,,,,,,,
1895,3,cubist,0.9111308516,4.931695438,,,,,,,,,,
1664,3,cubist,0.9111551227,4.578379732,,,,,,,,,,
1864,3,cubist,0.9111624952,4.787181523,,,,,,,,,,
