Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
34,45,cubist,0.7147410362,8.272652768,,,,,,,,,,
2386,45,cubist,0.7148010302,8.443298394,,,,,,,,,,
2457,45,cubist,0.714882128,8.277690313,,,,,,,,,,
3337,45,cubist,0.7149347471,8.330358377,,,,,,,,,,
2008,45,cubist,0.7149613377,9.12770715,,,,,,,,,,
2462,45,cubist,0.7149676256,8.127551471,,,,,,,,,,
686,45,cubist,0.7151492586,8.741438886,,,,,,,,,,
1406,45,cubist,0.7153175838,8.014409214,,,,,,,,,,
2099,45,cubist,0.7153489874,8.550814088,,,,,,,,,,
159,45,cubist,0.7154056221,8.655482766,,,,,,,,,,
1293,45,cubist,0.7155340444,8.356225325,,,,,,,,,,
437,45,cubist,0.7156292409,8.575192424,,,,,,,,,,
1720,45,cubist,0.7157162855,8.648810137,,,,,,,,,,
2915,45,cubist,0.7157258472,8.494716536,,,,,,,,,,
3908,45,cubist,0.7157732023,8.182143665,,,,,,,,,,
2613,45,cubist,0.7159540629,8.530421325,,,,,,,,,,
1416,45,cubist,0.7159604564,7.725953454,,,,,,,,,,
3791,45,cubist,0.7161031128,7.990696224,,,,,,,,,,
2205,45,cubist,0.716113336,8.370888101,,,,,,,,,,
3778,45,cubist,0.7161312714,8.220884107,,,,,,,,,,
3700,45,cubist,0.7162340927,8.356821398,,,,,,,,,,
3161,45,cubist,0.7162382499,8.64678529,,,,,,,,,,
2098,45,cubist,0.7162621289,8.426919098,,,,,,,,,,
3994,45,cubist,0.7162632982,8.431890931,,,,,,,,,,
3434,45,cubist,0.7163088236,8.079135171,,,,,,,,,,
3502,45,cubist,0.7163391974,8.128501635,,,,,,,,,,
1702,45,cubist,0.7164316416,8.177723729,,,,,,,,,,
1930,45,cubist,0.7164332613,9.027001895,,,,,,,,,,
835,45,cubist,0.7164936162,8.240503081,,,,,,,,,,
3584,45,cubist,0.716534675,8.447969159,,,,,,,,,,
2027,45,cubist,0.7166472052,8.158409815,,,,,,,,,,
3635,45,cubist,0.7167257257,8.872686183,,,,,,,,,,
2102,45,cubist,0.7168560576,8.52713336,,,,,,,,,,
3582,45,cubist,0.7168570592,8.095017785,,,,,,,,,,
1357,45,cubist,0.716871955,8.12740658,,,,,,,,,,
3786,45,cubist,0.7169476076,8.820911516,,,,,,,,,,
