Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
bagEarth,0.8604989338,6.325404422,7.892439955,3250,1,full_before_split,split_separate
bagEarth,0.860486002,6.769580752,8.308130374,1278,1,full_before_split,split_separate
bagEarth,0.8601462492,6.308354254,7.973850112,579,1,full_before_split,split_separate
bagEarth,0.8601249393,6.56804789,8.160579596,931,1,full_before_split,split_separate
bagEarth,0.859963191,6.219253314,8.139380734,3329,1,full_before_split,split_separate
bagEarth,0.8599270822,5.933539113,7.661885359,2361,1,full_before_split,split_separate
bagEarth,0.8598055589,6.298786251,7.966635233,3595,1,full_before_split,split_separate
bagEarth,0.8597959624,6.383989556,7.925851287,68,1,full_before_split,split_separate
bagEarth,0.8597021675,6.122676948,7.758163856,2297,1,full_before_split,split_separate
bagEarth,0.8594987209,6.475065406,8.179302943,1932,1,full_before_split,split_separate
bagEarth,0.8594728841,6.294135749,8.032807741,2286,1,full_before_split,split_separate
bagEarth,0.8593958592,6.406209041,7.965711685,746,1,full_before_split,split_separate
bagEarth,0.8593926926,6.282079384,8.009518786,2099,1,full_before_split,split_separate
bagEarth,0.85928413,6.555896814,8.299241278,1703,1,full_before_split,split_separate
bagEarth,0.8592791328,6.296867606,8.040349747,1401,1,full_before_split,split_separate
bagEarth,0.859187281,6.417661676,8.001817252,3071,1,full_before_split,split_separate
bagEarth,0.8591781356,6.263739094,7.865670943,3461,1,full_before_split,split_separate
bagEarth,0.8591334531,6.366986208,8.159666229,3739,1,full_before_split,split_separate
bagEarth,0.8591225964,6.27662613,7.962010306,370,1,full_before_split,split_separate
bagEarth,0.8591210605,6.437338681,7.906897034,2671,1,full_before_split,split_separate
bagEarth,0.859107191,6.370830895,8.042695627,2781,1,full_before_split,split_separate
bagEarth,0.859074657,6.420260302,8.071335082,2599,1,full_before_split,split_separate
bagEarth,0.8589012836,5.99300043,7.6874513,987,1,full_before_split,split_separate
bagEarth,0.8588976549,6.022872564,7.691855462,3926,1,full_before_split,split_separate
bagEarth,0.8588868755,6.355086068,8.102742543,1206,1,full_before_split,split_separate
bagEarth,0.8587393002,6.509974887,8.263477245,2434,1,full_before_split,split_separate
bagEarth,0.8587018744,6.308607613,8.05023625,3121,1,full_before_split,split_separate
bagEarth,0.8586920973,6.373479985,8.000835849,1396,1,full_before_split,split_separate
