Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
708,1,svmLinear3,0.7160800529,8.422655471,,,,,,,,,,
3437,1,svmLinear3,0.716085845,8.430847767,,,,,,,,,,
769,1,svmLinear3,0.7161879573,8.665261899,,,,,,,,,,
3056,1,svmLinear3,0.716204229,7.985438018,,,,,,,,,,
324,1,svmLinear3,0.7162057653,8.324173022,,,,,,,,,,
1509,1,svmLinear3,0.7163186709,8.492281433,,,,,,,,,,
3995,1,svmLinear3,0.7163835297,8.291789554,,,,,,,,,,
639,1,svmLinear3,0.7165935989,8.83977453,,,,,,,,,,
2542,1,svmLinear3,0.7165946962,8.52514693,,,,,,,,,,
1330,1,svmLinear3,0.7166877645,8.351271751,,,,,,,,,,
311,1,svmLinear3,0.717117618,8.485113426,,,,,,,,,,
1905,1,svmLinear3,0.717292497,8.644747878,,,,,,,,,,
3548,1,svmLinear3,0.7173849785,9.134926157,,,,,,,,,,
2239,1,svmLinear3,0.7174230885,8.382081127,,,,,,,,,,
2336,1,svmLinear3,0.7174857683,8.494842916,,,,,,,,,,
2809,1,svmLinear3,0.7176344715,8.302641041,,,,,,,,,,
225,1,svmLinear3,0.7176444736,8.791581196,,,,,,,,,,
2621,1,svmLinear3,0.7176978692,8.558223655,,,,,,,,,,
3714,1,svmLinear3,0.7177104198,8.539731526,,,,,,,,,,
3360,1,svmLinear3,0.7177849413,8.825901808,,,,,,,,,,
2711,1,svmLinear3,0.7181216567,8.347954551,,,,,,,,,,
2286,1,svmLinear3,0.7181241877,8.789774972,,,,,,,,,,
2145,1,svmLinear3,0.7183503869,8.330770347,,,,,,,,,,
3698,1,svmLinear3,0.7184154164,8.427983899,,,,,,,,,,
1738,1,svmLinear3,0.7184325397,8.368936894,,,,,,,,,,
1094,1,svmLinear3,0.7184813858,8.446267498,,,,,,,,,,
1523,1,svmLinear3,0.718493653,8.663078573,,,,,,,,,,
2326,1,svmLinear3,0.7186437613,8.59105294,,,,,,,,,,
2300,1,svmLinear3,0.7189377653,8.278850637,,,,,,,,,,
2949,1,svmLinear3,0.7189486657,8.867358113,,,,,,,,,,
1370,1,svmLinear3,0.7190610008,8.243214723,,,,,,,,,,
1146,1,svmLinear3,0.7191791571,8.112163075,,,,,,,,,,
1102,1,svmLinear3,0.7192306515,8.479758146,,,,,,,,,,
883,1,svmLinear3,0.7193460096,8.110071085,,,,,,,,,,
3502,1,svmLinear3,0.7194520628,8.274874338,,,,,,,,,,
101,1,svmLinear3,0.7195675539,8.313365814,,,,,,,,,,
2805,1,svmLinear3,0.7198061658,7.979952554,,,,,,,,,,
2925,1,svmLinear3,0.7198159085,8.614252988,,,,,,,,,,
280,1,svmLinear3,0.7198775531,8.618168882,,,,,,,,,,
3177,1,svmLinear3,0.720128463,8.316274917,,,,,,,,,,
1158,1,svmLinear3,0.7203035368,8.215458525,,,,,,,,,,
2788,1,svmLinear3,0.7203172364,8.460822064,,,,,,,,,,
3378,1,svmLinear3,0.7204305034,8.362932435,,,,,,,,,,
3068,1,svmLinear3,0.7204666544,8.191609981,,,,,,,,,,
2255,1,svmLinear3,0.7206248396,8.493082543,,,,,,,,,,
1358,1,svmLinear3,0.7206529634,8.55027555,,,,,,,,,,
1659,1,svmLinear3,0.7207644892,8.75487762,,,,,,,,,,
2087,1,svmLinear3,0.7208374999,7.94173074,,,,,,,,,,
3075,1,svmLinear3,0.7210258139,8.550072061,,,,,,,,,,
2782,1,svmLinear3,0.7210320885,8.099624113,,,,,,,,,,
2879,1,svmLinear3,0.72103734,8.276657425,,,,,,,,,,
3369,1,svmLinear3,0.7211194056,9.065844737,,,,,,,,,,
2314,1,svmLinear3,0.7211487581,8.211170363,,,,,,,,,,
902,1,svmLinear3,0.7211722925,8.51475949,,,,,,,,,,
834,1,svmLinear3,0.7212134598,8.504366289,,,,,,,,,,
2996,1,svmLinear3,0.7212337001,8.432622711,,,,,,,,,,
964,1,svmLinear3,0.7212901844,8.620034708,,,,,,,,,,
317,1,svmLinear3,0.7213416448,8.303699633,,,,,,,,,,
1608,1,svmLinear3,0.7215613665,8.387966127,,,,,,,,,,
1243,1,svmLinear3,0.7215648373,8.912363155,,,,,,,,,,
535,1,svmLinear3,0.7215831886,8.275569417,,,,,,,,,,
3391,1,svmLinear3,0.7217344377,7.932975871,,,,,,,,,,
1863,1,svmLinear3,0.7217572543,8.459898405,,,,,,,,,,
2694,1,svmLinear3,0.7218187854,8.600164228,,,,,,,,,,
210,1,svmLinear3,0.7218316847,8.86622078,,,,,,,,,,
3880,1,svmLinear3,0.7219603387,8.388382377,,,,,,,,,,
1874,1,svmLinear3,0.7219959671,8.353849617,,,,,,,,,,
2062,1,svmLinear3,0.7223608741,8.628989404,,,,,,,,,,
1394,1,svmLinear3,0.7223914187,8.32458176,,,,,,,,,,
1453,1,svmLinear3,0.7224450549,8.507744363,,,,,,,,,,
1055,1,svmLinear3,0.7225291412,8.642834162,,,,,,,,,,
114,1,svmLinear3,0.7225368743,8.780190406,,,,,,,,,,
3063,1,svmLinear3,0.7225402373,8.247521214,,,,,,,,,,
1459,1,svmLinear3,0.7226097043,8.51561826,,,,,,,,,,
3178,1,svmLinear3,0.7226988984,8.338389547,,,,,,,,,,
1693,1,svmLinear3,0.7227353724,8.312469666,,,,,,,,,,
63,1,svmLinear3,0.7228358484,8.091836084,,,,,,,,,,
235,1,svmLinear3,0.7228792932,8.395377098,,,,,,,,,,
3967,1,svmLinear3,0.7228812294,8.470490646,,,,,,,,,,
1352,1,svmLinear3,0.7229953686,8.855704557,,,,,,,,,,
3929,1,svmLinear3,0.7230148532,8.303796823,,,,,,,,,,
1808,1,svmLinear3,0.7230229001,8.385965768,,,,,,,,,,
2832,1,svmLinear3,0.7231388032,8.358157482,,,,,,,,,,
199,1,svmLinear3,0.7231791604,8.198859122,,,,,,,,,,
1765,1,svmLinear3,0.7231849221,8.869953493,,,,,,,,,,
3422,1,svmLinear3,0.7232712442,8.609182534,,,,,,,,,,
2819,1,svmLinear3,0.7234093762,8.281471194,,,,,,,,,,
2844,1,svmLinear3,0.7234815178,8.56873035,,,,,,,,,,
2969,1,svmLinear3,0.7235125892,8.161378861,,,,,,,,,,
3998,1,svmLinear3,0.7235238127,8.767821704,,,,,,,,,,
3395,1,svmLinear3,0.7236483184,8.273560869,,,,,,,,,,
2616,1,svmLinear3,0.7239008519,8.376715528,,,,,,,,,,
924,1,svmLinear3,0.7239185831,8.466999878,,,,,,,,,,
3324,1,svmLinear3,0.7240349449,8.365138264,,,,,,,,,,
1466,1,svmLinear3,0.7240831048,8.198233206,,,,,,,,,,
1772,1,svmLinear3,0.7241844259,8.5443668,,,,,,,,,,
3346,1,svmLinear3,0.7242892694,8.253483798,,,,,,,,,,
2584,1,svmLinear3,0.7243281484,8.44323742,,,,,,,,,,
713,1,svmLinear3,0.7243864551,8.448306414,,,,,,,,,,
1979,1,svmLinear3,0.7244106765,7.910553705,,,,,,,,,,
136,1,svmLinear3,0.7245612547,8.261360078,,,,,,,,,,
1450,1,svmLinear3,0.7246798054,8.291094915,,,,,,,,,,
422,1,svmLinear3,0.7248147531,8.636960871,,,,,,,,,,
1634,1,svmLinear3,0.7248874557,8.760173926,,,,,,,,,,
1406,1,svmLinear3,0.7249384204,8.149266874,,,,,,,,,,
121,1,svmLinear3,0.7249629504,7.919262849,,,,,,,,,,
1491,1,svmLinear3,0.7249817073,8.492369379,,,,,,,,,,
891,1,svmLinear3,0.7249979581,8.435729466,,,,,,,,,,
1485,1,svmLinear3,0.7251824947,8.798234864,,,,,,,,,,
1439,1,svmLinear3,0.7252237242,8.066936231,,,,,,,,,,
1327,1,svmLinear3,0.7253231086,8.301819399,,,,,,,,,,
2533,1,svmLinear3,0.7253450881,8.579726419,,,,,,,,,,
3584,1,svmLinear3,0.7253815444,8.559443496,,,,,,,,,,
2474,1,svmLinear3,0.7253928176,8.349729346,,,,,,,,,,
2921,1,svmLinear3,0.7254985891,8.461306662,,,,,,,,,,
2997,1,svmLinear3,0.7255986136,8.092125455,,,,,,,,,,
113,1,svmLinear3,0.7258775124,8.514935348,,,,,,,,,,
1964,1,svmLinear3,0.7259771617,8.299702564,,,,,,,,,,
912,1,svmLinear3,0.7261295333,8.475358797,,,,,,,,,,
1507,1,svmLinear3,0.7261879433,8.228597282,,,,,,,,,,
124,1,svmLinear3,0.7262576518,8.103765572,,,,,,,,,,
935,1,svmLinear3,0.7262823762,8.546451787,,,,,,,,,,
712,1,svmLinear3,0.7263530749,8.383300826,,,,,,,,,,
2158,1,svmLinear3,0.7263841582,8.076593268,,,,,,,,,,
2927,1,svmLinear3,0.7263980931,7.984817559,,,,,,,,,,
3405,1,svmLinear3,0.7265058942,8.474299465,,,,,,,,,,
2438,1,svmLinear3,0.7268393736,8.725238358,,,,,,,,,,
3937,1,svmLinear3,0.726936456,8.246243355,,,,,,,,,,
948,1,svmLinear3,0.7269595846,8.462105674,,,,,,,,,,
3633,1,svmLinear3,0.7270260298,8.510366641,,,,,,,,,,
1247,1,svmLinear3,0.7270396157,8.854823542,,,,,,,,,,
2979,1,svmLinear3,0.727252946,8.139111254,,,,,,,,,,
3085,1,svmLinear3,0.7272603388,8.386458321,,,,,,,,,,
3541,1,svmLinear3,0.7274067137,7.829992741,,,,,,,,,,
2531,1,svmLinear3,0.7276017345,8.661430157,,,,,,,,,,
2900,1,svmLinear3,0.7276169575,7.851647319,,,,,,,,,,
2743,1,svmLinear3,0.7276341478,8.672056553,,,,,,,,,,
1452,1,svmLinear3,0.7276474256,8.093737129,,,,,,,,,,
819,1,svmLinear3,0.7276560193,8.179841711,,,,,,,,,,
3753,1,svmLinear3,0.7277728523,8.433865298,,,,,,,,,,
3531,1,svmLinear3,0.7278075937,8.737379189,,,,,,,,,,
1227,1,svmLinear3,0.7278471561,8.349248905,,,,,,,,,,
3191,1,svmLinear3,0.7278475681,8.299841269,,,,,,,,,,
1350,1,svmLinear3,0.7279338927,8.126468155,,,,,,,,,,
3982,1,svmLinear3,0.7279929817,8.748397368,,,,,,,,,,
3583,1,svmLinear3,0.7280905375,8.337236609,,,,,,,,,,
3408,1,svmLinear3,0.7281124599,9.080063984,,,,,,,,,,
2651,1,svmLinear3,0.72813868,8.365985846,,,,,,,,,,
2829,1,svmLinear3,0.728369984,8.403428143,,,,,,,,,,
833,1,svmLinear3,0.7284725067,8.291285526,,,,,,,,,,
3959,1,svmLinear3,0.7285228886,8.324327763,,,,,,,,,,
2331,1,svmLinear3,0.7285638833,8.123623377,,,,,,,,,,
2464,1,svmLinear3,0.7285872447,8.452522724,,,,,,,,,,
1515,1,svmLinear3,0.7285936927,8.589591204,,,,,,,,,,
2753,1,svmLinear3,0.7287223056,8.71685612,,,,,,,,,,
2686,1,svmLinear3,0.728834071,8.632596199,,,,,,,,,,
3230,1,svmLinear3,0.7288488337,8.639209494,,,,,,,,,,
1153,1,svmLinear3,0.7288736761,8.158545766,,,,,,,,,,
1479,1,svmLinear3,0.7288964515,8.374023707,,,,,,,,,,
786,1,svmLinear3,0.7289473862,8.660586396,,,,,,,,,,
430,1,svmLinear3,0.7290916283,8.016311923,,,,,,,,,,
2159,1,svmLinear3,0.7291128004,8.503959362,,,,,,,,,,
641,1,svmLinear3,0.729258206,7.938367983,,,,,,,,,,
3984,1,svmLinear3,0.729281674,8.352920602,,,,,,,,,,
2894,1,svmLinear3,0.7292876587,8.48404637,,,,,,,,,,
3802,1,svmLinear3,0.729302165,7.955650331,,,,,,,,,,
1978,1,svmLinear3,0.7293027264,8.82150058,,,,,,,,,,
901,1,svmLinear3,0.7293748287,7.983310653,,,,,,,,,,
524,1,svmLinear3,0.7293946946,8.548856401,,,,,,,,,,
1988,1,svmLinear3,0.7294268817,7.901290403,,,,,,,,,,
189,1,svmLinear3,0.7294608101,8.482194986,,,,,,,,,,
1542,1,svmLinear3,0.7294706859,8.081530988,,,,,,,,,,
1092,1,svmLinear3,0.7295345241,7.999007998,,,,,,,,,,
1684,1,svmLinear3,0.7295945346,8.52611684,,,,,,,,,,
1432,1,svmLinear3,0.7296752279,8.43508409,,,,,,,,,,
1843,1,svmLinear3,0.7296875706,8.103535473,,,,,,,,,,
3546,1,svmLinear3,0.7297093212,8.168262185,,,,,,,,,,
2896,1,svmLinear3,0.7297341564,7.992339911,,,,,,,,,,
3291,1,svmLinear3,0.7297361387,8.558290238,,,,,,,,,,
3833,1,svmLinear3,0.7298373827,8.526303651,,,,,,,,,,
302,1,svmLinear3,0.7298910058,8.044803521,,,,,,,,,,
2683,1,svmLinear3,0.7298959784,8.556185519,,,,,,,,,,
2250,1,svmLinear3,0.7299183943,8.257610563,,,,,,,,,,
1963,1,svmLinear3,0.7299757397,8.548437793,,,,,,,,,,
2045,1,svmLinear3,0.7300196126,8.07031013,,,,,,,,,,
82,1,svmLinear3,0.7300814408,8.668833581,,,,,,,,,,
570,1,svmLinear3,0.730212565,8.21268285,,,,,,,,,,
1966,1,svmLinear3,0.7302222275,8.466632919,,,,,,,,,,
3496,1,svmLinear3,0.7302430295,8.401920153,,,,,,,,,,
43,1,svmLinear3,0.7302692888,8.35148141,,,,,,,,,,
1689,1,svmLinear3,0.7302732647,8.364200819,,,,,,,,,,
1437,1,svmLinear3,0.7302748003,8.314581226,,,,,,,,,,
1646,1,svmLinear3,0.7302783896,8.308433225,,,,,,,,,,
2373,1,svmLinear3,0.7303176595,8.465981482,,,,,,,,,,
2251,1,svmLinear3,0.7303208705,7.900775287,,,,,,,,,,
1722,1,svmLinear3,0.7303946768,8.3036726,,,,,,,,,,
2457,1,svmLinear3,0.7305351951,8.462952141,,,,,,,,,,
658,1,svmLinear3,0.7305421878,7.537899113,,,,,,,,,,
182,1,svmLinear3,0.7306270612,8.216174462,,,,,,,,,,
2822,1,svmLinear3,0.7306559704,8.195938452,,,,,,,,,,
2785,1,svmLinear3,0.7307459963,8.656741321,,,,,,,,,,
1091,1,svmLinear3,0.7307908905,8.236347976,,,,,,,,,,
2719,1,svmLinear3,0.730800157,8.74693614,,,,,,,,,,
