Dataset seed,Model seed,Model,R^2,MAE,,,,,,,,IQR,Mean,Mediun
586,1,bagEarth,0.5632659935,11.49781084,,,,,,,,,,
3430,1,bagEarth,0.5631928847,11.37277998,,,,,,,,,,
2705,1,bagEarth,0.5631173225,11.004523,,,,,,,,,,
3943,1,bagEarth,0.5630341171,11.54123411,,,,,,,,,,
3387,1,bagEarth,0.5629814571,11.27080362,,,,,,,,,,
2877,1,bagEarth,0.5629788542,11.70889951,,,,,,,,,,
3098,1,bagEarth,0.5627609191,11.26488013,,,,,,,,,,
218,1,bagEarth,0.562565169,11.60154749,,,,,,,,,,
3675,1,bagEarth,0.5625544719,11.22638826,,,,,,,,,,
2995,1,bagEarth,0.5618975454,11.11602245,,,,,,,,,,
844,1,bagEarth,0.5618046619,11.38526339,,,,,,,,,,
1802,1,bagEarth,0.5617467238,11.29806566,,,,,,,,,,
2053,1,bagEarth,0.561155587,10.93696929,,,,,,,,,,
1784,1,bagEarth,0.5611084045,11.29974929,,,,,,,,,,
1190,1,bagEarth,0.5610385392,11.54054462,,,,,,,,,,
1745,1,bagEarth,0.5605595566,11.14317421,,,,,,,,,,
245,1,bagEarth,0.5604359935,11.13244015,,,,,,,,,,
814,1,bagEarth,0.5602245741,11.27310665,,,,,,,,,,
2639,1,bagEarth,0.5599797114,11.87324546,,,,,,,,,,
1166,1,bagEarth,0.5594772374,11.5289558,,,,,,,,,,
2356,1,bagEarth,0.5594221334,11.65599686,,,,,,,,,,
3950,1,bagEarth,0.5593542971,10.921447,,,,,,,,,,
1079,1,bagEarth,0.559040119,11.78386042,,,,,,,,,,
2160,1,bagEarth,0.5583001622,11.29808903,,,,,,,,,,
1823,1,bagEarth,0.5582320736,11.97042798,,,,,,,,,,
2383,1,bagEarth,0.5580860513,11.52958681,,,,,,,,,,
329,1,bagEarth,0.5580787531,11.77488432,,,,,,,,,,
3679,1,bagEarth,0.5580310966,10.56759987,,,,,,,,,,
3788,1,bagEarth,0.5579650225,11.24544355,,,,,,,,,,
3140,1,bagEarth,0.5579259053,11.08194362,,,,,,,,,,
1010,1,bagEarth,0.5579135962,11.37454603,,,,,,,,,,
611,1,bagEarth,0.5578432821,11.85880177,,,,,,,,,,
883,1,bagEarth,0.5576095032,11.40594797,,,,,,,,,,
1791,1,bagEarth,0.5573311429,11.46929947,,,,,,,,,,
950,1,bagEarth,0.5565361966,11.40368249,,,,,,,,,,
3463,1,bagEarth,0.5565142191,11.24543736,,,,,,,,,,
2914,1,bagEarth,0.5564763967,11.15770032,,,,,,,,,,
1248,1,bagEarth,0.5563548933,11.51022522,,,,,,,,,,
3956,1,bagEarth,0.5563186794,11.98756234,,,,,,,,,,
3820,1,bagEarth,0.5562245705,11.66063098,,,,,,,,,,
1821,1,bagEarth,0.5559151818,11.5591132,,,,,,,,,,
3592,1,bagEarth,0.5558280376,12.00922096,,,,,,,,,,
3380,1,bagEarth,0.5557393755,11.28197385,,,,,,,,,,
3532,1,bagEarth,0.5555178053,11.4487687,,,,,,,,,,
3749,1,bagEarth,0.5552768879,11.49620819,,,,,,,,,,
2927,1,bagEarth,0.5551786591,11.19530295,,,,,,,,,,
2529,1,bagEarth,0.5551614596,11.59328065,,,,,,,,,,
3120,1,bagEarth,0.5551460158,11.16993571,,,,,,,,,,
2838,1,bagEarth,0.5550597292,11.30629087,,,,,,,,,,
3090,1,bagEarth,0.5545729868,10.92825753,,,,,,,,,,
2649,1,bagEarth,0.5544767051,11.88766469,,,,,,,,,,
1448,1,bagEarth,0.5543821951,11.55580464,,,,,,,,,,
2311,1,bagEarth,0.5541609393,11.03536533,,,,,,,,,,
1883,1,bagEarth,0.5541432203,11.57408988,,,,,,,,,,
462,1,bagEarth,0.5536509276,11.74094217,,,,,,,,,,
3842,1,bagEarth,0.5535848692,11.08869363,,,,,,,,,,
1969,1,bagEarth,0.5534631297,11.29541884,,,,,,,,,,
169,1,bagEarth,0.5534188001,11.86119776,,,,,,,,,,
3493,1,bagEarth,0.5534088497,11.32506279,,,,,,,,,,
3372,1,bagEarth,0.5533002461,11.44547553,,,,,,,,,,
3344,1,bagEarth,0.5532971304,11.55506995,,,,,,,,,,
2193,1,bagEarth,0.5531220561,12.12779811,,,,,,,,,,
205,1,bagEarth,0.5529674089,11.03596482,,,,,,,,,,
1088,1,bagEarth,0.552853194,11.29462185,,,,,,,,,,
666,1,bagEarth,0.5528188634,11.18673649,,,,,,,,,,
1894,1,bagEarth,0.552814795,11.5445069,,,,,,,,,,
3578,1,bagEarth,0.5527406983,10.86563092,,,,,,,,,,
281,1,bagEarth,0.5525409587,11.74037759,,,,,,,,,,
1348,1,bagEarth,0.5523564548,11.66630907,,,,,,,,,,
3652,1,bagEarth,0.5523415998,11.21170945,,,,,,,,,,
1125,1,bagEarth,0.5521813329,12.17532478,,,,,,,,,,
1129,1,bagEarth,0.5520900759,11.34667393,,,,,,,,,,
2131,1,bagEarth,0.5518297952,11.31935073,,,,,,,,,,
1921,1,bagEarth,0.5516833009,11.33035274,,,,,,,,,,
2240,1,bagEarth,0.5515713151,10.63144604,,,,,,,,,,
3562,1,bagEarth,0.5514743682,11.79973152,,,,,,,,,,
2523,1,bagEarth,0.5513415856,11.27695528,,,,,,,,,,
1723,1,bagEarth,0.5512939213,11.68547934,,,,,,,,,,
3153,1,bagEarth,0.5512770288,11.17826302,,,,,,,,,,
780,1,bagEarth,0.5509591386,11.37589582,,,,,,,,,,
3058,1,bagEarth,0.5508468344,11.1712092,,,,,,,,,,
1731,1,bagEarth,0.5508257991,11.76360613,,,,,,,,,,
135,1,bagEarth,0.5508030897,11.85207769,,,,,,,,,,
1659,1,bagEarth,0.5504399965,11.3781175,,,,,,,,,,
2428,1,bagEarth,0.5499442952,11.65741621,,,,,,,,,,
572,1,bagEarth,0.5498700734,11.48916697,,,,,,,,,,
3987,1,bagEarth,0.54973341,11.73364921,,,,,,,,,,
1665,1,bagEarth,0.5494450748,11.4429498,,,,,,,,,,
3041,1,bagEarth,0.549436105,11.36843579,,,,,,,,,,
3785,1,bagEarth,0.5491700352,11.2810408,,,,,,,,,,
3276,1,bagEarth,0.5490864952,11.52184719,,,,,,,,,,
150,1,bagEarth,0.5490075164,11.41479652,,,,,,,,,,
2960,1,bagEarth,0.5489490827,11.5702024,,,,,,,,,,
1672,1,bagEarth,0.5487865923,11.53474028,,,,,,,,,,
2072,1,bagEarth,0.5485752437,11.37278093,,,,,,,,,,
3849,1,bagEarth,0.5484650608,11.11702759,,,,,,,,,,
893,1,bagEarth,0.5483672142,11.43075015,,,,,,,,,,
2815,1,bagEarth,0.5482362814,11.73518722,,,,,,,,,,
2947,1,bagEarth,0.5480874271,11.67999498,,,,,,,,,,
3181,1,bagEarth,0.5480407579,11.67247071,,,,,,,,,,
3795,1,bagEarth,0.5479527347,11.50600355,,,,,,,,,,
3834,1,bagEarth,0.5477371386,11.66208012,,,,,,,,,,
183,1,bagEarth,0.5477149632,11.54128304,,,,,,,,,,
1610,1,bagEarth,0.5476927762,11.32988912,,,,,,,,,,
862,1,bagEarth,0.5474973611,11.10760745,,,,,,,,,,
1061,1,bagEarth,0.5474103144,11.90532201,,,,,,,,,,
2292,1,bagEarth,0.5474092051,11.14238663,,,,,,,,,,
1027,1,bagEarth,0.5474013096,11.15845793,,,,,,,,,,
2757,1,bagEarth,0.54730178,11.56086047,,,,,,,,,,
2518,1,bagEarth,0.5470544599,11.37500051,,,,,,,,,,
3953,1,bagEarth,0.54704307,11.14921986,,,,,,,,,,
67,1,bagEarth,0.5469096177,11.92020403,,,,,,,,,,
874,1,bagEarth,0.5467685311,11.6182148,,,,,,,,,,
1393,1,bagEarth,0.5466679719,11.49746419,,,,,,,,,,
2694,1,bagEarth,0.5466118029,11.36652782,,,,,,,,,,
