"id","Model","Status","elapsed_seconds","R2","MAE","RMSE","Error","dataset_seed","training_seed","threshold_scope","imputation_scope"
160,"bagEarthGCV","OK",37.6,0.614838575652613,0.0272294155140506,0.0354243009395028,"",160,1,"full_before_split","split_separate"
161,"bagEarthGCV","OK",37.222,0.678417207273458,0.0251998949619874,0.0339201746982574,"",161,1,"full_before_split","split_separate"
162,"bagEarthGCV","OK",36.947,0.570126248195956,0.0276705619773398,0.0349731792299846,"",162,1,"full_before_split","split_separate"
163,"bagEarthGCV","OK",38.385,0.695531702903296,0.0258406849847586,0.0323121408535506,"",163,1,"full_before_split","split_separate"
164,"bagEarthGCV","OK",36.807,0.65779605218925,0.0241257853657844,0.0319049877048475,"",164,1,"full_before_split","split_separate"
165,"bagEarthGCV","OK",38.005,0.592462067818496,0.0280410045919198,0.0365526042846054,"",165,1,"full_before_split","split_separate"
166,"bagEarthGCV","OK",37.365,0.636357053912647,0.0259795539595023,0.035028441745415,"",166,1,"full_before_split","split_separate"
167,"bagEarthGCV","OK",37.228,0.663898453935434,0.0248024166498739,0.0320737032882496,"",167,1,"full_before_split","split_separate"
168,"bagEarthGCV","OK",37.978,0.639322415695306,0.0264165387633595,0.0345071388324561,"",168,1,"full_before_split","split_separate"
169,"bagEarthGCV","OK",38.131,0.621592282091785,0.0272820302174468,0.0355071829626589,"",169,1,"full_before_split","split_separate"
170,"bagEarthGCV","OK",37.138,0.577690341211672,0.0257877756250973,0.0364397445240793,"",170,1,"full_before_split","split_separate"
171,"bagEarthGCV","OK",37.881,0.614896347523395,0.0270803945810451,0.034828454461964,"",171,1,"full_before_split","split_separate"
172,"bagEarthGCV","OK",38.921,0.592414159618899,0.027081792395603,0.0344991982939091,"",172,1,"full_before_split","split_separate"
173,"bagEarthGCV","OK",37.187,0.623319169562128,0.024654464135197,0.031227455245713,"",173,1,"full_before_split","split_separate"
174,"bagEarthGCV","OK",37.935,0.660732692156889,0.026667948404237,0.0338270227352644,"",174,1,"full_before_split","split_separate"
175,"bagEarthGCV","OK",37.992,0.581206981440926,0.0253881382601552,0.035745508973266,"",175,1,"full_before_split","split_separate"
176,"bagEarthGCV","OK",37.602,0.551222216640771,0.0293130845949035,0.0369065393248969,"",176,1,"full_before_split","split_separate"
177,"bagEarthGCV","OK",37.639,0.563522302498517,0.030298044319749,0.0387707188405886,"",177,1,"full_before_split","split_separate"
178,"bagEarthGCV","OK",38.058,0.647571279787441,0.0250648068563031,0.0340986068938885,"",178,1,"full_before_split","split_separate"
179,"bagEarthGCV","OK",37.141,0.506422278134584,0.0287981129229599,0.0373307748594501,"",179,1,"full_before_split","split_separate"
180,"bagEarthGCV","OK",37.891,0.665376668408268,0.0269828445805172,0.0330810576272346,"",180,1,"full_before_split","split_separate"
181,"bagEarthGCV","OK",37.282,0.613698968892678,0.0278534540891331,0.0363798963422838,"",181,1,"full_before_split","split_separate"
182,"bagEarthGCV","OK",37.655,0.607811089433796,0.0273304438375786,0.0380286582554276,"",182,1,"full_before_split","split_separate"
183,"bagEarthGCV","OK",38.308,0.599442220903843,0.0304957715215797,0.0393381863973434,"",183,1,"full_before_split","split_separate"
184,"bagEarthGCV","OK",37.692,0.5767846369774,0.029132279519198,0.0370332013599147,"",184,1,"full_before_split","split_separate"
185,"bagEarthGCV","OK",37.951,0.634368739347877,0.0283858672747367,0.037446258733303,"",185,1,"full_before_split","split_separate"
186,"bagEarthGCV","OK",37.87,0.657334114591,0.0263825283033605,0.0326595827382703,"",186,1,"full_before_split","split_separate"
187,"bagEarthGCV","OK",38.594,0.654484686807717,0.0258317813591774,0.034476518342019,"",187,1,"full_before_split","split_separate"
188,"bagEarthGCV","OK",37.331,0.660001336803708,0.0251847025671354,0.0318231366400356,"",188,1,"full_before_split","split_separate"
189,"bagEarthGCV","OK",38.087,0.610649645968563,0.0269900042684004,0.0351095874050214,"",189,1,"full_before_split","split_separate"
190,"bagEarthGCV","OK",37.464,0.609424599769636,0.0278407651244887,0.0356097285713261,"",190,1,"full_before_split","split_separate"
191,"bagEarthGCV","OK",37.203,0.578383087669149,0.0284906138518674,0.0369286181152915,"",191,1,"full_before_split","split_separate"
192,"bagEarthGCV","OK",37.508,0.639183437579108,0.0259663889915779,0.033581006202243,"",192,1,"full_before_split","split_separate"
193,"bagEarthGCV","OK",37.577,0.636381832832025,0.0262247468155858,0.0356392835284408,"",193,1,"full_before_split","split_separate"
194,"bagEarthGCV","OK",37.246,0.644127417521638,0.0263918517861235,0.0356764688326911,"",194,1,"full_before_split","split_separate"
195,"bagEarthGCV","OK",37.702,0.658543901029792,0.0232561139945274,0.0311130395125091,"",195,1,"full_before_split","split_separate"
