"","age","cg04875128","cg01763090","cg03822622","cg11865208"
"GSM989997",38,0.2248598,0.1675075,0.348603,0.7993662
"GSM989998",35,0.1813738,0.1678149,0.3640158,0.8444045
"GSM989999",47,0.2414302,0.1854387,0.3772438,0.8269752
"GSM990000",80,0.4655555,0.2166956,0.3938386,0.8289757
"GSM990001",86,0.4277262,0.2502052,0.3992915,0.8400642
"GSM990002",71,0.3451857,0.2217513,0.366466,0.8215365
"GSM990003",77,0.258033,0.1945954,0.3694359,0.8076057
"GSM990004",67,0.2957979,0.1992371,0.3396225,0.7783858
"GSM990005",84,0.3959752,0.2149933,0.3575622,0.8166775
"GSM990006",80,0.3796895,0.2123262,0.404035,0.8373685
"GSM990007",70,0.333473,0.2110895,0.3306266,0.7848034
"GSM990008",67,0.332704,0.2151708,0.3013539,0.7740182
"GSM990009",63,0.2486374,0.264466,0.3491581,0.8245178
"GSM990010",70,0.3660735,0.2030652,0.3523317,0.8065056
"GSM990011",56,0.2562311,0.1771731,0.3571324,0.8377008
"GSM990012",67,0.4166343,0.2410056,0.377425,0.8180371
"GSM990013",70,0.3879541,0.1944311,0.3709052,0.8203223
"GSM990014",70,0.3019027,0.2190984,0.4120923,0.8088261
"GSM990015",74,0.4076723,0.2138234,0.4183771,0.8283252
"GSM990016",73,0.3264714,0.1756942,0.3862684,0.8201315
"GSM990017",77,0.3016554,0.2016309,0.2996647,0.834446
"GSM990018",80,0.3738184,0.2797083,0.3641115,0.8184782
"GSM990019",66,0.3268501,0.1902336,0.3523866,0.8153041
"GSM990020",85,0.4227167,0.251226,0.2908416,0.8572773
"GSM990021",76,0.3407864,0.2209786,0.4117002,0.8026782
"GSM990022",78,0.3300324,0.1885623,0.3554332,0.8256635
"GSM990023",82,0.3353381,0.2237713,0.3563579,0.8375673
"GSM990024",76,0.3284733,0.2066642,0.3449043,0.8469062
"GSM990025",71,0.2883457,0.2069206,0.412846,0.8096406
"GSM990026",82,0.3242479,0.2279826,0.3396564,0.7887681
"GSM990027",83,0.314342,0.2263482,0.3312602,0.8402673
"GSM990028",79,0.3771867,0.2230846,0.3571794,0.7958325
"GSM990029",75,0.3784629,0.2236694,0.4448816,0.7942362
"GSM990030",68,0.3622623,0.2486032,0.324888,0.8034862
"GSM990031",64,0.263562,0.2016088,0.3387414,0.7897462
"GSM990032",70,0.2822962,0.1962554,0.3388346,0.7974144
"GSM990033",92,0.4215468,0.2232717,0.3464957,0.7041325
"GSM990034",74,0.2935176,0.1940592,0.2934321,0.855315
"GSM990035",69,0.3131752,0.2163313,0.4013321,0.8194197
"GSM990036",80,0.2458216,0.2280548,0.2718948,0.8200271
"GSM990037",63,0.2702533,0.1953295,0.3271843,0.8348536
"GSM990038",77,0.3767601,0.2131872,0.3598783,0.8457771
"GSM990039",81,0.4538535,0.2025525,0.3049795,0.7757696
"GSM990040",82,0.3178511,0.2245651,0.3358266,0.7518641
"GSM990041",69,0.2623715,0.1884266,0.3865904,0.7937872
"GSM990042",73,0.3505529,0.2198934,0.3853043,0.8140422
"GSM990043",66,0.3806967,0.1889889,0.3293468,0.7644868
"GSM990044",87,0.3527864,0.1670044,0.3412062,0.8035029
"GSM990045",68,0.3298719,0.2496727,0.3223034,0.8301771
"GSM990046",69,0.3010436,0.1735777,0.337531,0.7990898
"GSM990047",76,0.3277952,0.1695457,0.3713014,0.8055168
"GSM990048",69,0.2626724,0.1894173,0.3715232,0.8200025
"GSM990049",81,0.3718046,0.1912551,0.331921,0.8223299
"GSM990050",71,0.3211823,0.2201582,0.3455957,0.7789043
"GSM990051",71,0.3503136,0.1972163,0.3032384,0.8372994
"GSM990052",75,0.3028205,0.1859065,0.3941234,0.8100742
"GSM990053",60,0.2094761,0.1782958,0.3166494,0.816079
"GSM990054",77,0.3958443,0.1876972,0.2824034,0.818946
"GSM990055",85,0.3331755,0.1899657,0.2851628,0.7692898
"GSM990056",70,0.2673864,0.1905513,0.3606529,0.8032271
"GSM990057",62,0.1951021,0.1475988,0.312733,0.7961485
"GSM990058",69,0.3952271,0.1794515,0.309321,0.7572328
"GSM990059",73,0.3186111,0.1869802,0.2573705,0.8278387
"GSM990060",73,0.3192533,0.1784488,0.3080977,0.7874249
"GSM990061",74,0.3767497,0.2004268,0.3804886,0.859533
"GSM990062",73,0.3100589,0.1977703,0.3467497,0.7628948
"GSM990063",86,0.3207705,0.2207699,0.2935881,0.8527009
"GSM990064",83,0.4469961,0.1857377,0.2809302,0.7832656
"GSM990065",76,0.3057994,0.1995657,0.3120427,0.8175448
"GSM990066",75,0.3544286,0.1859814,0.2650794,0.7650201
"GSM990067",64,0.4032325,0.1703365,0.2804295,0.7989401
"GSM990068",67,0.3639736,0.1502275,0.3651229,0.8326811
"GSM990069",88,0.3302769,0.1742508,0.3462891,0.8148614
"GSM990070",48,0.2584793,0.153549,0.3711071,0.8550515
"GSM990071",44,0.1399219,0.1911547,0.3190428,0.8110854
"GSM990072",48,0.2068939,0.1629879,0.3551847,0.8778061
"GSM990073",62,0.2085431,0.178587,0.3787708,0.8264977
"GSM990074",54,0.1936709,0.211363,0.3599374,0.8687924
"GSM990075",46,0.09999487,0.1673175,0.3773411,0.8165128
"GSM990076",60,0.4028198,0.2004567,0.3517583,0.8143574
"GSM990077",40,0.1471901,0.1386893,0.3188325,0.8112745
"GSM990078",43,0.2010986,0.1679682,0.3733555,0.7774701
"GSM990079",41,0.03367904,0.1633153,0.3209427,0.7783473
"GSM990080",53,0.1490638,0.1701568,0.3116686,0.8253565
"GSM990081",48,0.2454715,0.1816663,0.3609461,0.8652025
"GSM990082",71,0.3898537,0.2013239,0.4045049,0.8356869
"GSM990083",52,0.3330592,0.2028742,0.3616541,0.813868
"GSM990084",64,0.3292658,0.1886735,0.3347141,0.826414
"GSM990085",48,0.222707,0.1588709,0.3325418,0.8371295
"GSM990086",55,0.2552234,0.1971296,0.3258518,0.7733234
"GSM990087",68,0.2749566,0.1807577,0.3445525,0.8150077
"GSM990088",46,0.3102579,0.1668237,0.3128305,0.7578515
"GSM990089",64,0.3946075,0.1896335,0.3740698,0.8394743
"GSM990090",57,0.3533841,0.200016,0.3563349,0.8499817
"GSM990091",45,0.2197228,0.1877326,0.4155611,0.7799948
"GSM990092",51,0.3353639,0.1571837,0.3376864,0.8397285
"GSM990093",53,0.263288,0.2219981,0.3879085,0.7901227
"GSM990094",60,0.2948254,0.1932179,0.3544497,0.8016085
"GSM990095",51,0.282736,0.2319146,0.339115,0.7867572
"GSM990096",73,0.2381479,0.2027906,0.4683993,0.8393114
"GSM990097",38,0.1028536,0.143418,0.3493,0.8390605
"GSM990098",42,0.2002162,0.1969518,0.3812707,0.8408213
"GSM990099",64,0.3673998,0.2262888,0.3594968,0.7399736
"GSM990100",58,0.2589008,0.1939903,0.3899812,0.8492352
"GSM990101",43,0.08339853,0.1600915,0.3576647,0.817246
"GSM990102",38,0.07169222,0.1656657,0.3361542,0.8242506
"GSM990103",54,0.1837688,0.1666414,0.3702441,0.806707
"GSM990104",70,0.1723928,0.1814082,0.3159161,0.8261971
"GSM990105",44,0.2634705,0.1511596,0.3255642,0.8384567
"GSM990106",62,0.3015293,0.2049179,0.368694,0.835559
"GSM990107",51,0.1249481,0.1815339,0.3482195,0.8216828
"GSM990108",41,0.2103212,0.1851768,0.3784536,0.8670019
"GSM990109",53,0.3340707,0.1949482,0.4026387,0.8134449
"GSM990110",65,0.3680705,0.2340768,0.329547,0.8099092
"GSM990111",50,0.21888,0.1813562,0.3629298,0.8287942
"GSM990112",55,0.2417676,0.223945,0.3893379,0.8435767
"GSM990113",62,0.2618792,0.1856424,0.3706952,0.8506442
"GSM990114",61,0.2744114,0.1967377,0.3941577,0.8720898
"GSM990115",38,0.1842091,0.1664829,0.3332491,0.835121
"GSM990116",59,0.2772293,0.1992495,0.3675377,0.838834
"GSM990117",64,0.3972488,0.2293766,0.4531533,0.8168688
"GSM990118",57,0.2128012,0.1835123,0.3864014,0.8303995
"GSM990119",57,0.4276763,0.1905505,0.401424,0.7887217
"GSM990120",49,0.2166468,0.18005,0.3587015,0.8427784
"GSM990121",64,0.2578693,0.156059,0.353025,0.8402923
"GSM990122",66,0.2736831,0.177398,0.3079854,0.7683785
"GSM990268",52,0.3575827,0.1920238,0.3398516,0.8201625
"GSM990269",43,0.2160976,0.1366279,0.3602394,0.8072581
"GSM990270",49,0.2795732,0.2050869,0.4011471,0.8385069
"GSM990271",51,0.3657698,0.1707412,0.3927296,0.8160299
"GSM990272",58,0.2474405,0.1568523,0.3806792,0.8367326
"GSM990273",63,0.3689475,0.1866818,0.3268971,0.7815145
"GSM990274",55,0.3271953,0.1646795,0.3740124,0.7969796
"GSM990275",50,0.3220622,0.1879945,0.3874271,0.8168523
"GSM990276",57,0.3366603,0.174878,0.4222691,0.8114966
"GSM990277",33,0.3930537,0.1529269,0.3903039,0.8015854
"GSM990278",46,0.2037167,0.1811307,0.3498144,0.7920963
"GSM990279",46,0.3395793,0.1529917,0.3482167,0.8197287
"GSM990280",66,0.3120029,0.2124976,0.3807866,0.8554309
"GSM990281",55,0.2721021,0.2122609,0.3875732,0.8140863
"GSM990282",64,0.3454002,0.2210267,0.362122,0.8185022
"GSM990283",46,0.2449598,0.1853074,0.3202954,0.7993045
"GSM990284",66,0.3650747,0.1799762,0.3283275,0.8451616
"GSM990285",47,0.1524498,0.1827615,0.3767643,0.8275019
"GSM990286",58,0.3461205,0.2012101,0.3531384,0.8045565
"GSM990287",61,0.2101938,0.1409685,0.2952281,0.8073577
"GSM990288",48,0.2821611,0.1795196,0.3143617,0.7713645
"GSM990289",45,0.2432567,0.1636487,0.3782659,0.8518068
"GSM990290",62,0.3086407,0.1731262,0.3416059,0.765917
"GSM990291",50,0.2067845,0.1712616,0.3895486,0.8404624
"GSM990292",34,0.2945035,0.1640781,0.3994591,0.8079271
"GSM990293",64,0.2394975,0.1927005,0.3533839,0.794444
"GSM990294",55,0.1489653,0.1850294,0.3584328,0.8454995
"GSM990295",48,0.1895771,0.1614154,0.3814085,0.8330238
"GSM990296",60,0.4131778,0.1942931,0.3173637,0.7930207
"GSM990297",64,0.3452294,0.1877113,0.362689,0.8271767
"GSM990298",58,0.3259878,0.2178924,0.3181549,0.7708082
"GSM990299",37,0.1365881,0.1363229,0.3378599,0.8031477
"GSM990300",60,0.3292584,0.1859118,0.3207161,0.8289838
"GSM990301",63,0.2842564,0.1717464,0.3726157,0.8234514
"GSM990302",59,0.2496171,0.1855426,0.318981,0.8311666
"GSM990303",54,0.3648583,0.2000593,0.3576115,0.8431007
"GSM990304",60,0.1529196,0.156837,0.3744376,0.7880502
"GSM990305",51,0.2739786,0.1676966,0.3405648,0.8077767
"GSM990306",63,0.4076918,0.2151398,0.3939473,0.8352922
"GSM990307",64,0.2681597,0.1659436,0.346644,0.8276245
"GSM990308",64,0.2611797,0.2305554,0.3993337,0.8467068
"GSM990309",44,0.2846293,0.1833603,0.4010308,0.7670011
"GSM990310",65,0.328587,0.1706026,0.3385434,0.6773159
"GSM990311",66,0.2775848,0.1839807,0.3750413,0.8327977
"GSM990312",51,0.2808799,0.1699092,0.3708416,0.7983634
"GSM990313",61,0.216263,0.2007801,0.3498426,0.8186593
"GSM990314",52,0.2757686,0.1587341,0.3114952,0.7895361
"GSM990315",61,0.3651613,0.190449,0.3169206,0.79369
"GSM990316",59,0.2889311,0.1741924,0.3602504,0.8283817
"GSM990317",57,0.1707269,0.1611484,0.3498692,0.7719185
"GSM990318",52,0.27551,0.1932216,0.3838212,0.8074108
"GSM990319",55,0.3750746,0.1535809,0.3239586,0.8022484
"GSM990320",59,0.3586957,0.1835139,0.3622504,0.8297881
"GSM990321",59,0.3475975,0.1976957,0.3632956,0.822442
"GSM990322",61,0.3407126,0.2832342,0.3461054,0.7467886
"GSM990323",46,0.2733313,0.1815926,0.3738894,0.8153513
"GSM990324",31,0.1016244,0.1562357,0.3574194,0.7969329
"GSM990325",55,0.2149087,0.1900261,0.3492947,0.703211
"GSM990326",53,0.2730065,0.1615766,0.3469996,0.7646857
"GSM990327",42,0.2700013,0.1607285,0.3619747,0.8098509
"GSM990328",59,0.387567,0.2016584,0.3165352,0.8188813
"GSM990329",50,0.212261,0.1765607,0.3635072,0.8049769
"GSM990330",52,0.1549981,0.153249,0.3428998,0.8087972
"GSM990331",45,0.273356,0.1517678,0.3332483,0.7591899
"GSM990332",65,0.3225736,0.1946402,0.3314304,0.8136709
"GSM990333",59,0.2839516,0.1697665,0.3459954,0.7610965
"GSM990334",58,0.2844917,0.1607495,0.3904801,0.8443319
"GSM990335",64,0.3438946,0.1997945,0.3662773,0.8287072
"GSM990336",61,0.2831789,0.1580275,0.3570484,0.838027
"GSM990337",67,0.3284321,0.1799683,0.3591398,0.8052801
"GSM990338",59,0.2926661,0.2048871,0.3677573,0.8064744
"GSM990339",58,0.1727683,0.1662892,0.4232876,0.8205564
"GSM990340",54,0.2971351,0.1704569,0.3775215,0.8268903
"GSM990341",57,0.240157,0.1784453,0.3596164,0.8219747
"GSM990342",60,0.07584302,0.1517366,0.3769609,0.8258295
"GSM990343",50,0.3193696,0.1429986,0.3513108,0.8211036
"GSM990344",57,0.3317149,0.2564912,0.3766473,0.817616
"GSM990345",66,0.2509345,0.1826555,0.3832314,0.815375
"GSM990346",44,0.2065587,0.1801589,0.360667,0.7949943
"GSM990347",62,0.2038832,0.1984583,0.3439677,0.8223726
"GSM990348",76,0.429194,0.1974677,0.3949323,0.82127234
"GSM990349",48,0.2602414,0.2011458,0.3924112,0.8379251
